City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
152,Robertsport,LR,2020-04-05 19:33:13,6.75,-11.37,82.36,81,20,5.99,light rain,0.62,0.0
153,Nikolskoye,RU,2020-04-05 19:32:12,59.7,30.79,30.2,74,3,4.47,clear sky,0.0,0.0
154,Gobabis,NA,2020-04-05 19:33:13,-22.45,18.97,71.6,68,83,2.24,broken clouds,0.0,0.0
155,Kaitangata,NZ,2020-04-05 19:33:14,-46.28,169.85,55.99,94,100,1.99,light rain,0.24,0.0
156,Cabo San Lucas,MX,2020-04-05 19:28:28,22.89,-109.91,86.0,30,75,5.82,broken clouds,0.0,0.0
157,Daru,PG,2020-04-05 19:33:14,-9.08,143.21,77.86,83,92,7.2,overcast clouds,0.0,0.0
158,Katsina,NG,2020-04-05 19:33:14,12.99,7.6,86.76,11,100,6.08,overcast clouds,0.0,0.0
159,Cururupu,BR,2020-04-05 19:33:14,-1.83,-44.87,79.48,90,100,6.96,moderate rain,3.47,0.0
160,Bredasdorp,ZA,2020-04-05 19:32:11,-34.53,20.04,60.8,82,80,10.29,broken clouds,0.0,0.0
161,Beringovskiy,RU,2020-04-05 19:33:14,63.05,179.32,4.41,85,76,11.97,broken clouds,0.0,0.0
162,Baisha,CN,2020-04-05 19:33:14,26.52,110.93,53.24,78,91,0.47,overcast clouds,0.0,0.0
163,Severobaykalsk,RU,2020-04-05 19:33:15,55.65,109.32,17.83,71,0,4.99,clear sky,0.0,0.0
164,Geraldton,AU,2020-04-05 19:33:15,-28.77,114.6,61.0,87,0,5.82,clear sky,0.0,0.0
165,Chokurdakh,RU,2020-04-05 19:29:25,70.63,147.92,8.26,95,99,11.27,light snow,0.0,0.35
166,Egvekinot,RU,2020-04-05 19:33:15,66.32,-179.17,2.43,85,100,7.56,overcast clouds,0.0,0.0
167,Ayorou,NE,2020-04-05 19:33:15,14.73,0.92,90.66,10,0,4.76,clear sky,0.0,0.0
168,Esperance,AU,2020-04-05 19:32:11,-33.87,121.9,57.2,76,75,10.29,broken clouds,0.0,0.0
169,Kiunga,PG,2020-04-05 19:33:16,-6.12,141.29,73.62,97,97,1.52,light rain,2.4,0.0
170,Setaka,JP,2020-04-05 19:33:16,33.15,130.47,46.0,80,0,3.36,clear sky,0.0,0.0
171,Peer,BE,2020-04-05 19:33:16,51.13,5.46,63.0,36,0,3.36,clear sky,0.0,0.0
172,Torbay,CA,2020-04-05 19:32:07,47.67,-52.73,30.99,74,75,12.75,broken clouds,0.0,0.0
173,Zhigansk,RU,2020-04-05 19:33:16,66.77,123.37,13.71,96,95,14.61,light snow,0.0,0.4
174,Kununurra,AU,2020-04-05 19:33:16,-15.77,128.73,77.0,88,40,1.12,scattered clouds,0.0,0.0
175,Itaituba,BR,2020-04-05 19:33:16,-4.28,-55.98,93.2,59,20,8.05,few clouds,0.0,0.0
176,Longyearbyen,SJ,2020-04-05 19:33:16,78.22,15.64,5.0,77,40,5.82,scattered clouds,0.0,0.0
