City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
171,Salekhard,RU,2020-04-04 19:00:50,66.53,66.6,34.54,88,92,14.65
172,Cotonou,BJ,2020-04-04 19:00:50,6.37,2.42,84.2,79,40,10.29
173,Pacific Grove,US,2020-04-04 18:52:00,36.62,-121.92,57.99,62,90,4.7
174,Antofagasta,CL,2020-04-04 19:00:50,-23.65,-70.4,72.0,60,40,12.75
175,Utena,LT,2020-04-04 19:00:50,55.5,25.6,36.64,74,62,10.87
176,Babu,CN,2020-04-04 18:56:06,24.42,111.52,57.88,86,100,2.95
177,Broken Hill,AU,2020-04-04 19:00:51,-31.95,141.43,53.6,71,2,4.7
178,Kaitangata,NZ,2020-04-04 19:00:51,-46.28,169.85,54.0,89,76,1.99
179,Tuatapere,NZ,2020-04-04 18:56:24,-46.13,167.68,50.0,86,67,4.0
180,Longyearbyen,SJ,2020-04-04 18:47:01,78.22,15.64,3.2,71,20,6.93
181,Nanortalik,GL,2020-04-04 18:51:34,60.14,-45.24,31.05,89,100,8.5
182,Verkhnyaya Inta,RU,2020-04-04 19:00:51,65.98,60.31,33.33,90,65,17.31
183,Morondava,MG,2020-04-04 19:00:51,-20.28,44.28,79.86,79,10,4.21
184,Rehoboth,NA,2020-04-04 19:00:51,-23.32,17.08,76.96,20,35,3.62
185,Suntar,RU,2020-04-04 18:51:02,62.14,117.63,17.56,92,97,12.5
186,Matias Barbosa,BR,2020-04-04 19:00:52,-21.87,-43.32,73.0,73,24,5.14
187,Glendive,US,2020-04-04 18:58:15,47.11,-104.71,44.01,55,1,6.93
188,Treinta Y Tres,UY,2020-04-04 18:51:04,-33.23,-54.38,74.86,44,2,6.96
189,Mackay,AU,2020-04-04 18:51:40,-21.15,149.2,75.0,94,40,3.36
190,Brae,GB,2020-04-04 18:51:37,60.4,-1.35,44.6,93,100,14.99
191,Vostok,RU,2020-04-04 18:50:56,46.49,135.88,23.58,92,99,8.25
192,Iqaluit,CA,2020-04-04 18:50:59,63.75,-68.51,-0.4,70,5,25.28
193,Ulverstone,AU,2020-04-04 19:00:52,-41.15,146.17,45.0,88,99,11.79
